epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.37,1.17245,10.0152,0.95057,0.42105,0.08282,0.05948,0.04914,0.83534,3.68808,0.82114,4.473e-05,4.473e-05,4.473e-05
2,510.795,0.87389,3.97503,0.82392,0.54648,0.21255,0.15426,0.12354,0.74361,2.41585,0.80342,8.97765e-05,8.97765e-05,8.97765e-05
3,736.312,0.7898,2.72006,0.81639,0.52032,0.27674,0.23728,0.1935,0.67192,1.76375,0.79691,0.000132967,0.000132967,0.000132967
4,957.37,0.71381,2.01074,0.81155,0.42881,0.37551,0.33186,0.26511,0.70279,1.76388,0.79617,0.000174303,0.000174303,0.000174303
5,1153.98,0.70664,1.65351,0.81349,0.54088,0.34891,0.36981,0.29813,0.73797,1.58536,0.79929,0.00019613,0.00019613,0.00019613
6,1357.58,0.70054,1.48324,0.80842,0.47788,0.40211,0.39323,0.31522,0.68424,1.63681,0.79764,0.000191913,0.000191913,0.000191913
7,1555.03,0.6997,1.27664,0.80994,0.57959,0.43473,0.44128,0.36254,0.66547,1.5446,0.79332,0.000187696,0.000187696,0.000187696
8,1760.61,0.67319,1.13735,0.8155,0.59619,0.43629,0.49126,0.4143,0.63202,1.28677,0.78932,0.000183478,0.000183478,0.000183478
9,1963.02,0.67917,1.01825,0.80601,0.5312,0.45569,0.43985,0.36698,0.61247,1.39308,0.78995,0.000179261,0.000179261,0.000179261
10,2168.71,0.6592,0.92667,0.80259,0.65784,0.43872,0.46945,0.38946,0.65333,1.29709,0.79342,0.000175043,0.000175043,0.000175043
11,2374.06,0.66211,0.90798,0.80173,0.60081,0.46006,0.49676,0.40685,0.66054,1.19775,0.79127,0.000170826,0.000170826,0.000170826
12,2579.77,0.6304,0.77579,0.80629,0.592,0.44325,0.47808,0.39244,0.64017,1.24222,0.78814,0.000166609,0.000166609,0.000166609
13,2777.78,0.62495,0.75574,0.80155,0.62798,0.44947,0.47706,0.38992,0.6665,1.22512,0.78875,0.000162391,0.000162391,0.000162391
14,2984.21,0.63311,0.72482,0.80741,0.57145,0.48438,0.48544,0.40089,0.63534,1.30958,0.78874,0.000158174,0.000158174,0.000158174
15,3184.19,0.58994,0.63179,0.80014,0.58951,0.40831,0.48721,0.41084,0.59532,1.18432,0.78467,0.000153956,0.000153956,0.000153956
16,3388.68,0.59377,0.63115,0.79663,0.63745,0.4595,0.51089,0.42663,0.59974,1.1757,0.78339,0.000149739,0.000149739,0.000149739
17,3595.59,0.59533,0.58859,0.79564,0.63494,0.45881,0.50513,0.41565,0.62876,1.19054,0.78589,0.000145522,0.000145522,0.000145522
18,3803.34,0.58537,0.5649,0.79,0.65196,0.43958,0.50937,0.4176,0.63261,1.22573,0.78653,0.000141304,0.000141304,0.000141304
19,4005.31,0.55365,0.52967,0.79434,0.59021,0.44514,0.50529,0.42423,0.60595,1.14073,0.78535,0.000137087,0.000137087,0.000137087
20,4211.71,0.53071,0.49959,0.80425,0.58455,0.4908,0.52381,0.43841,0.58821,1.10883,0.78445,0.000132869,0.000132869,0.000132869
21,4413.24,0.52614,0.48303,0.78389,0.59311,0.50584,0.50583,0.41834,0.60276,1.22596,0.7875,0.000128652,0.000128652,0.000128652
22,4623.16,0.52797,0.47427,0.79623,0.56337,0.53011,0.52564,0.44479,0.58568,1.24095,0.78324,0.000124435,0.000124435,0.000124435
23,4824.93,0.53664,0.46302,0.79128,0.61043,0.50155,0.52278,0.43843,0.58582,1.12389,0.78262,0.000120217,0.000120217,0.000120217
24,5031.58,0.53204,0.45092,0.79149,0.6564,0.48214,0.52535,0.44376,0.57679,1.14399,0.78367,0.000116,0.000116,0.000116
25,5234,0.52991,0.43758,0.7926,0.59595,0.4515,0.5146,0.42679,0.61595,1.15913,0.78503,0.000111782,0.000111782,0.000111782
26,5441.36,0.51587,0.4293,0.78256,0.60707,0.47704,0.50529,0.42637,0.58144,1.13001,0.78039,0.000107565,0.000107565,0.000107565
27,5636.15,0.51478,0.42475,0.79397,0.58212,0.49866,0.525,0.44656,0.55531,1.12041,0.78249,0.000103348,0.000103348,0.000103348
28,5831.36,0.49564,0.41956,0.78489,0.63671,0.45934,0.50922,0.43051,0.57713,1.15357,0.7825,9.91302e-05,9.91302e-05,9.91302e-05
29,6041.29,0.4966,0.40244,0.78967,0.61484,0.47304,0.52865,0.44989,0.55314,1.07851,0.78274,9.49128e-05,9.49128e-05,9.49128e-05
30,6266.08,0.46864,0.38858,0.78311,0.74438,0.45284,0.52307,0.43814,0.56269,1.12032,0.78165,9.06954e-05,9.06954e-05,9.06954e-05
31,6473.24,0.47606,0.37919,0.78231,0.60186,0.49599,0.52692,0.44605,0.55293,1.05533,0.77992,8.6478e-05,8.6478e-05,8.6478e-05
32,6678.24,0.4806,0.37627,0.78798,0.66123,0.46494,0.51933,0.44008,0.54503,1.08299,0.78,8.22606e-05,8.22606e-05,8.22606e-05
33,6885.1,0.47211,0.3593,0.79193,0.64075,0.48863,0.52316,0.44434,0.55318,1.086,0.7806,7.80432e-05,7.80432e-05,7.80432e-05
34,7089.14,0.45989,0.34336,0.77731,0.62937,0.49425,0.52622,0.44638,0.54134,1.06853,0.78048,7.38258e-05,7.38258e-05,7.38258e-05
35,7297,0.45031,0.34456,0.78543,0.74185,0.47038,0.53916,0.45722,0.52041,1.07623,0.77839,6.96084e-05,6.96084e-05,6.96084e-05
36,7493.84,0.45711,0.3469,0.78506,0.65269,0.49335,0.52225,0.44484,0.52937,1.09215,0.7788,6.5391e-05,6.5391e-05,6.5391e-05
37,7699.25,0.46416,0.34728,0.77992,0.6615,0.47817,0.51327,0.4304,0.55977,1.14537,0.78156,6.11736e-05,6.11736e-05,6.11736e-05
38,7902.47,0.44196,0.3249,0.77673,0.64979,0.4746,0.52134,0.44442,0.54858,1.12474,0.7807,5.69562e-05,5.69562e-05,5.69562e-05
39,8106.1,0.4371,0.3208,0.78627,0.74105,0.43639,0.51739,0.4394,0.53557,1.19913,0.77948,5.27388e-05,5.27388e-05,5.27388e-05
40,8310.32,0.42929,0.321,0.77944,0.66164,0.48129,0.51465,0.43803,0.52642,1.1712,0.77865,4.85214e-05,4.85214e-05,4.85214e-05
41,8533.79,0.3977,0.30767,0.77391,0.67332,0.48818,0.51554,0.43841,0.53381,1.12181,0.7797,4.4304e-05,4.4304e-05,4.4304e-05
42,8737.69,0.41523,0.30486,0.77824,0.6318,0.50373,0.52223,0.44585,0.53443,1.14913,0.77935,4.00866e-05,4.00866e-05,4.00866e-05
43,8941.67,0.40515,0.29713,0.77931,0.6568,0.5145,0.52358,0.4503,0.52778,1.12177,0.77904,3.58692e-05,3.58692e-05,3.58692e-05
44,9144.08,0.38625,0.29445,0.76547,0.64957,0.50842,0.52213,0.44384,0.52968,1.12805,0.7799,3.16518e-05,3.16518e-05,3.16518e-05
45,9364.59,0.38394,0.28692,0.76726,0.65622,0.49996,0.51706,0.44167,0.533,1.15433,0.78144,2.74344e-05,2.74344e-05,2.74344e-05
